varname	value	lang
nothing	"niks"	nl
right-now	"op dit moment"	nl
before	"eerder"	nl
rest-of-day	"de rest van de dag"	nl
tomorrow	"morgen"	nl
yesterday	"gisteren"	nl
next	"volgende"	nl
at	"om"	nl
until	"tot"	nl
today	"vandaag"	nl
